По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-08-16,1.0,232.16374269005848,0.0,232.16374269005848
2020-08-17,1.0,231.57894736842104,0.0,231.57894736842104
2020-08-18,1.0,230.99415204678363,0.0,230.99415204678363
2020-08-19,1.0,230.4093567251462,0.0,230.4093567251462
2020-08-20,1.0,229.82456140350877,0.0,229.82456140350877
2020-08-21,1.0,229.23976608187135,0.0,229.23976608187135
2020-08-22,1.0,228.65497076023394,0.0,228.65497076023394
2020-08-23,1.0,228.0701754385965,0.0,228.0701754385965
2020-08-24,1.0,227.48538011695905,0.0,227.48538011695905
2020-08-25,1.0,226.90058479532163,0.0,226.90058479532163
2020-08-26,1.0,226.31578947368422,0.0,226.31578947368422
2020-08-27,1.0,225.73099415204678,0.0,225.73099415204678
2020-08-28,1.0,225.14619883040936,0.0,225.14619883040936
2020-08-29,1.0,224.56140350877195,0.0,224.56140350877195
2020-08-30,1.0,223.9766081871345,0.0,223.9766081871345
2020-08-31,1.0,223.3918128654971,0.0,223.3918128654971
2020-09-01,1.0,222.80701754385967,0.0,222.80701754385967
2020-09-02,1.0,222.22222222222223,0.0,222.22222222222223
2020-09-03,1.0,221.63742690058479,0.0,221.63742690058479
2020-09-04,1.0,221.05263157894737,0.0,221.05263157894737
2020-09-05,1.0,220.46783625730995,0.0,220.46783625730995
2020-09-06,1.0,219.8830409356725,0.0,219.8830409356725
2020-09-07,1.0,219.2982456140351,0.0,219.2982456140351
2020-09-08,1.0,218.71345029239768,0.0,218.71345029239768
2020-09-09,1.0,218.12865497076024,0.0,218.12865497076024
2020-09-10,1.0,217.5438596491228,0.0,217.5438596491228
2020-09-11,1.0,216.95906432748538,0.0,216.95906432748538
2020-09-12,1.0,216.37426900584796,0.0,216.37426900584796
2020-09-13,1.0,215.78947368421052,0.0,215.78947368421052
2020-09-14,1.0,215.2046783625731,0.0,215.2046783625731
2020-09-15,1.0,214.6198830409357,0.0,214.6198830409357
2020-09-16,1.0,214.03508771929825,0.0,214.03508771929825
2020-09-17,1.0,213.4502923976608,0.0,213.4502923976608
